CASEID,ngrdchdc,amb_01,ats_120,ats_130,ats_140,ats_145,alndimmg,bpr_19,brthcan,brthmacr,brthprvc,yrarri,cc_20_1,cc_30_1,cc_40_1,cc_50_1,cc_60_1,cca551c,cca651c,ccdyc1c,ccmoc1c,cp_10_1,cp_20_1,csp_110a,csp_110b,cu0_132,famtype,hsdsizec,marstat,sex,dwelc,acompstc,ehg3_01b,prv,region,famincg2,ttlincg2,lanhmult,lanhome,religflg,rto_100,rto_101,slm_01,srh_110,srh_115,sts_410,sts_420,tsa_010
 9310, 0,2,1,6,1,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,2,1,6,5,4, 4,1,1,25, 7,24,2,4,4,1, 2,1,6,6, 3,3,4,3,5, 5
 9311, 0,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,1,2,96, 1,11,1,3,1,1, 1,2,6,6,10,2,2,6,6,96
 9312, 0,2,6,6,6,6, 6,6,2,1,96,12,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,24, 4,59,5,4,1,1, 1,1,6,6,10,1,1,6,6,96
 9313, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,23, 6,13,1,3,3,2,97,1,6,6, 7,3,3,6,6,96
 9314, 0,2,3,3,2,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,1,2,6,6,1, 1,1,2,15, 2,48,4,6,6,1, 1,1,1,1, 9,3,3,4,2, 3
 9315, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,29, 6,48,4,5,5,1, 1,2,6,6, 9,1,2,6,6,96
 9316, 2,6,6,6,6,6, 8,2,2,1,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,21, 6,59,5,4,2,2, 5,1,6,6,10,3,3,6,6,96
 9317, 1,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,4,3, 2,2,1,18, 4,35,3,5,2,1, 1,1,6,6,10,3,3,6,6,96
 9318, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,3,20, 4,59,5,6,5,2, 4,1,6,6, 6,2,2,6,6,96
 9319, 0,2,6,6,6,6, 3,2,2,1,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,40, 2,35,3,1,1,1, 1,8,6,6,10,1,1,6,6,96
 9320, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,26, 4,48,4,6,2,1, 1,2,6,6, 8,2,2,6,6,96
 9321, 0,2,6,6,6,6, 1,6,2,1,96,10,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,2,23, 6,48,4,4,2,1, 1,1,6,6, 9,2,1,6,6,96
 9322, 0,2,2,2,2,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,2,2,6,6,1, 4,1,1,29, 6,12,1,4,4,1, 1,1,1,1, 6,3,3,2,6, 5
 9323, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,24, 4,35,3,2,2,1, 1,1,6,6, 8,2,2,6,6,96
 9324, 1,7,4,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,4, 6,2,4,19, 2,35,3,2,2,1, 1,1,6,6, 8,3,3,1,6, 1
 9325, 5,1,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,3, 1,2,2,96, 1,35,3,4,1,1, 1,1,6,6, 8,3,3,6,6,96
 9326, 0,6,6,6,6,6, 6,6,2,3,96,14,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,6, 6,1,1,21, 6,48,4,4,1,1, 1,1,6,6, 8,2,2,6,6,96
 9327, 0,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,1,22, 2,10,1,1,1,1, 1,1,6,6, 4,5,5,6,6,96
 9328, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,2,96, 1,46,4,1,1,1, 1,1,6,6,10,5,3,6,6,96
 9329, 3,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,17, 2,46,4,4,1,1, 1,1,6,6, 9,2,2,6,6,96
 9330, 2,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,4,17, 3,24,2,2,2,1, 2,1,6,6, 7,1,1,6,6,96
 9331, 0,2,6,6,6,6,96,1,1,6, 6,96,2,96,6,6,96,6,6,96,96,6,96,6,6,1,2,4, 2,2,1,17, 2,48,4,3,1,1, 1,2,6,6,10,3,3,6,6,96
 9332, 0,6,6,6,6,6, 7,2,2,2,96, 7,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,1,35, 7,48,4,6,6,2, 5,1,6,6, 8,2,2,6,6,96
 9333, 0,2,6,6,6,6,96,1,1,6, 5,96,1, 4,6,1, 9,5,2, 7,96,1, 1,6,6,6,2,3, 1,2,1,22, 6,24,2,6,5,1, 1,1,1,1, 8,1,1,6,6,96
 9334, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,3, 6,1,2,17, 2,35,3,2,2,1, 1,2,6,6, 7,3,3,6,6,96
 9335, 0,2,6,6,6,6,96,1,1,6, 1,96,1, 6,1,2, 2,1,1, 1, 1,2,96,6,6,6,2,4, 1,2,1,22, 4,10,1,4,3,1, 1,1,6,6, 9,2,2,6,6,96
 9336, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,22, 3,48,4,4,4,1, 1,2,6,6, 8,3,2,6,6,96
 9337, 4,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,4,16, 2,59,5,2,1,1, 1,2,6,6, 9,3,2,6,6,96
 9338, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,20, 4,24,2,4,2,1, 2,1,6,6, 8,3,2,6,6,96
 9339, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,1,2,17, 2,24,2,2,2,1, 2,1,6,6, 7,3,3,6,6,96
 9340, 4,6,6,6,6,6, 8,2,2,4,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,3,19, 6,59,5,1,1,2, 5,1,6,6, 9,3,1,6,6,96
 9341, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,1,1,28, 5,48,4,4,3,1, 1,2,6,6, 7,4,3,6,6,96
