CASEID,ngrdchdc,amb_01,ats_120,ats_130,ats_140,ats_145,alndimmg,bpr_19,brthcan,brthmacr,brthprvc,yrarri,cc_20_1,cc_30_1,cc_40_1,cc_50_1,cc_60_1,cca551c,cca651c,ccdyc1c,ccmoc1c,cp_10_1,cp_20_1,csp_110a,csp_110b,cu0_132,famtype,hsdsizec,marstat,sex,dwelc,acompstc,ehg3_01b,prv,region,famincg2,ttlincg2,lanhmult,lanhome,religflg,rto_100,rto_101,slm_01,srh_110,srh_115,sts_410,sts_420,tsa_010
    1, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,17, 2,24,2,2,2,1, 2,1,6,6, 8,1,1,6,6,96
    2, 7,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,97, 3,46,4,4,1,1, 1,7,6,6,10,3,3,6,6,96
    3, 4,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,30, 6,35,3,4,2,1, 2,1,6,6, 8,2,3,6,6,96
    4, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,4,18, 2,48,4,5,3,1, 1,1,6,6,10,2,2,6,6,96
    5, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,2,25, 4,24,2,3,1,1, 2,1,6,6, 8,3,3,6,6,96
    6, 3,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,17, 2,24,2,3,1,1, 2,1,6,6, 9,1,2,6,6,96
    7, 4,7,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,96, 1,12,1,1,1,1, 1,1,6,6, 4,5,5,6,6,96
    8,15,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,3,96, 1,24,2,1,1,1, 2,1,6,6,10,3,2,6,6,96
    9, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,18, 2,59,5,1,1,1, 1,1,6,6, 8,2,2,6,6,96
   10, 0,1,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,6, 6,1,1,96, 1,47,4,1,1,1, 1,1,6,6, 5,5,5,6,6,96
   11, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 6,1,1,96, 1,59,5,1,1,1, 1,1,6,6,10,1,1,6,6,96
   12, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,1,28, 5,46,4,2,2,1, 1,7,6,6, 6,2,3,6,6,96
   13, 5,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,37, 2,11,1,4,1,1, 1,1,6,6, 6,3,2,6,6,96
   14, 0,2,6,6,6,6,96,1,1,6, 5,96,1, 2,2,1, 4,5,2,96,96,2,96,6,6,1,2,4, 2,2,1,24, 3,24,2,4,2,1, 2,1,6,6,10,2,2,6,6,96
   15, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,18, 2,24,2,2,2,1, 2,1,6,6, 6,4,4,6,6,96
   16, 0,6,6,6,6,6, 6,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,3,22, 6,59,5,2,2,1, 3,2,6,6, 9,1,1,6,6,96
   17,10,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,4,3, 1,1,1,19, 2,35,3,6,6,1, 1,1,6,6, 9,1,3,6,6,96
   18, 0,2,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,3,26, 6,59,5,4,4,1, 1,1,6,6, 8,3,3,6,6,96
   19, 1,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,30, 6,24,2,4,3,1, 2,1,6,6,10,4,3,6,6,96
   20, 0,2,6,6,6,6,96,1,1,6, 4,96,1, 1,2,2,12,6,8,98,98,2,96,6,6,1,2,5, 2,1,1,23, 6,13,1,6,4,2, 4,2,6,6, 9,1,1,6,6,96
   21, 2,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,24, 7,35,3,6,2,1, 1,1,6,6,10,2,1,6,6,96
   22, 0,6,6,6,6,6,96,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,1,24, 4,46,4,2,2,2, 5,2,6,6, 8,1,1,6,6,96
   23, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,4,22, 6,59,5,4,4,1, 1,2,6,6, 8,2,2,6,6,96
   24, 0,1,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 6,1,1,96, 1,47,4,6,1,1, 1,2,6,6, 7,3,2,6,6,96
   25, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,2,36, 4,24,2,2,2,1, 2,1,6,6, 8,2,2,6,6,96
   26, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,4,30, 6,35,3,4,4,1, 1,2,6,6, 9,1,3,6,6,96
   27, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,23, 7,35,3,5,5,1, 1,2,6,6, 7,1,2,6,6,96
   28, 0,6,6,6,6,6, 4,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 6,2,1,96, 1,47,4,6,1,1, 3,2,6,6, 2,2,1,6,6,96
   29, 0,6,2,2,2,6, 6,2,2,1,96,11,6,96,6,6,96,6,6,96,96,6,96,1,2,6,5,2, 4,2,4,23, 6,24,2,2,2,1, 3,1,6,6, 7,2,2,1,6, 2
   30, 0,6,6,6,6,6, 1,2,2,2,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,1,1,2, 2,1,1,18, 2,48,4,3,2,1, 1,1,6,6, 9,3,2,6,6,96
   31, 0,2,6,6,6,6,96,1,1,6, 5,96,2,96,6,6,96,6,6,96,96,6,96,6,6,1,2,4, 2,2,1,22, 6,24,2,6,2,1, 2,1,6,6, 8,3,2,6,6,96
   32, 1,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,1,2,96, 1,46,4,2,2,1, 1,1,6,6, 7,3,2,6,6,96
   33, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,3, 6,1,4,96, 1,48,4,1,1,1, 1,1,6,6, 8,1,1,6,6,96
   34, 6,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,3,16, 2,24,2,2,2,1, 2,1,6,6,10,2,2,6,6,96
   35, 4,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,1,36, 5,35,3,3,3,1, 1,1,6,6, 8,2,2,6,6,96
   36, 4,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,96, 1,10,1,2,1,1, 1,1,6,6,10,4,3,6,6,96
   37, 0,6,6,6,6,6, 3,2,2,4,96,10,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 6,1,2,24, 6,59,5,4,3,1, 3,2,6,6, 7,2,2,6,6,96
   38, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,23, 7,35,3,3,3,1, 1,1,6,6, 8,2,2,6,6,96
   39, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,4,4, 6,1,4,96, 1,48,4,6,1,1, 1,1,6,6, 5,1,2,6,6,96
   40, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,4,3, 2,1,1,17, 2,35,3,4,1,1, 1,2,6,6,10,1,1,6,6,96
   41, 2,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,96, 1,59,5,2,2,1, 1,1,6,6,10,3,3,6,6,96
   42, 0,2,6,6,6,6,96,1,1,6, 5,96,1, 2,2,1, 6,5,2, 5,96,2,96,6,6,1,2,3, 2,2,1,27, 5,24,2,5,3,1, 2,1,1,1, 9,1,1,6,6,96
   43, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,2,4,27, 4,12,1,2,2,1, 1,1,6,6, 8,3,3,6,6,96
   44, 3,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 1,1,1,24, 6,24,2,5,3,1, 2,1,2,1,10,1,1,6,6,96
   45, 0,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,96, 1,11,1,3,1,1, 1,1,6,6, 8,4,4,6,6,96
   46, 3,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,18, 2,59,5,6,6,1, 1,1,6,6,10,1,1,6,6,96
   47, 0,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,3, 6,1,1,24, 6,11,1,3,3,1, 1,1,1,1, 7,3,2,6,6,96
   48, 0,2,6,6,6,6,96,1,1,6, 5,96,2,96,6,6,96,6,6,96,96,6,96,6,6,1,2,4, 2,1,4,19, 3,24,2,5,5,1, 2,1,6,6, 8,4,3,6,6,96
   49,97,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,2,96, 1,12,1,2,2,1, 1,1,6,6, 8,3,7,6,6,96
   50, 1,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,3,96, 1,35,3,1,1,1, 1,1,6,6, 9,3,2,6,6,96
   51, 0,1,6,6,6,6,96,1,1,6,10,96,1, 1,1,2, 4,1,1, 1, 1,1, 6,6,6,1,2,4, 2,2,4,19, 2,59,5,4,1,1, 1,2,6,6, 8,5,4,6,6,96
   52, 0,6,6,6,6,6, 4,2,2,2,96, 5,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,3,35, 7,35,3,1,1,1, 1,1,6,6, 8,3,2,6,6,96
   53, 0,6,2,3,5,3, 1,6,2,5,96, 4,6,96,6,6,96,6,6,96,96,6,96,1,2,6,6,1, 4,2,3,19, 2,35,3,3,3,1, 1,1,6,6, 5,3,1,1,6, 1
   54, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,1,1,23, 6,35,3,6,6,1, 1,1,6,6, 9,1,1,6,6,96
   55, 0,2,3,2,1,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,1,2,6,5,3, 4,2,1,29, 7,11,1,5,5,1, 1,1,6,6, 9,1,1,1,6, 2
   56, 0,2,2,3,1,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,1,1,6,5,3, 4,1,1,20, 4,35,3,4,4,1, 1,1,6,6, 7,4,1,2,6, 2
   57, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,18, 2,35,3,5,3,1, 1,1,6,6, 7,3,2,6,6,96
   58, 4,1,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,96, 1,10,1,4,1,1, 1,1,6,6,10,4,3,6,6,96
   59, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,4,21, 3,12,1,4,2,1, 1,1,6,6, 8,3,3,6,6,96
   60, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,1,24, 6,13,1,4,4,1, 1,1,6,6, 6,4,3,6,6,96
   61, 6,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,96, 1,24,2,5,2,1, 2,1,6,6,10,3,1,6,6,96
   62, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,18, 3,24,2,1,1,1, 2,1,6,6, 8,3,1,6,6,96
   63, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,2,1,23, 4,48,4,2,2,1, 1,2,6,6, 6,4,1,6,6,96
   64, 0,6,6,6,6,6, 1,2,2,3,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 1,2,1,21, 6,35,3,6,1,1, 1,1,6,6, 9,2,2,6,6,96
   65, 5,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,4,40, 2,12,1,2,1,1, 1,1,6,6, 7,2,3,6,6,96
   66, 7,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,4,96, 1,48,4,2,2,1, 1,1,6,6, 9,2,3,6,6,96
   67, 3,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,1,2, 2,2,1,17, 2,12,1,6,2,1, 1,2,6,6, 9,2,2,6,6,96
   68, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 3,2,1,21, 4,35,3,3,1,1, 1,1,6,6, 5,2,2,6,6,96
   69, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,27, 4,46,4,4,2,1, 1,1,6,6,10,1,2,6,6,96
   70, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,1,17, 2,24,2,1,1,2, 4,1,6,6, 6,4,4,6,6,96
   71, 2,2,6,6,6,6, 9,6,2,1,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,18, 2,59,5,4,2,1, 1,1,6,6, 9,1,1,6,6,96
   72, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,2,3, 2,2,1,24, 4,35,3,5,3,1, 1,1,6,6, 8,1,1,6,6,96
   73, 0,2,1,6,1,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,1,2,6,6,1, 5,1,4,17, 2,35,3,2,2,1, 1,1,6,6, 6,3,1,3,5, 3
   74, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,4, 6,2,1,17, 2,59,5,1,1,1, 1,2,6,6,10,2,2,6,6,96
   75, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,5, 1,2,1,19, 2,13,1,1,1,1, 1,1,6,6,10,3,2,6,6,96
   76, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,1,1,25, 4,24,2,6,2,1, 1,1,6,6,10,1,1,6,6,96
   77, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,2,24, 6,24,2,6,1,1, 2,2,6,6, 8,1,2,6,6,96
   78, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,2,3, 2,2,1,23, 6,24,2,4,2,1, 2,1,6,6, 9,2,2,6,6,96
   79, 1,6,6,6,6,6, 6,2,2,4,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,2,1,21, 6,35,3,6,2,2, 5,1,6,6, 6,2,2,6,6,96
   80, 0,6,6,6,6,6, 2,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 6,2,1,96, 1,35,3,2,1,2, 5,1,6,6, 9,1,1,6,6,96
   81, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,4, 6,2,1,96, 1,24,2,4,1,1, 2,1,6,6, 8,2,2,6,6,96
   82, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,4,26, 6,59,5,4,4,1, 1,1,6,6, 7,3,2,6,6,96
   83, 0,6,6,6,6,6, 5,6,2,2,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,3, 2,2,1,96, 1,46,4,1,1,1, 1,1,6,6, 8,1,2,6,6,96
   84, 0,6,6,6,6,6, 7,2,2,4,96, 9,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,3,32, 6,35,3,5,5,2, 5,2,6,6, 8,2,3,6,6,96
   85, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 6,1,4,96, 1,24,2,5,1,1, 2,1,6,6, 8,3,3,6,6,96
   86, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,39, 7,35,3,3,3,1, 1,1,6,6, 8,1,1,6,6,96
   87, 1,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,18, 2,35,3,6,1,1, 1,1,6,6, 8,3,3,6,6,96
   88, 5,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,4,96, 1,10,1,1,1,1, 1,1,6,6, 7,5,2,6,6,96
   89, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,1,1,18, 2,12,1,5,4,1, 1,1,6,6, 7,3,3,6,6,96
   90, 0,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,1,4,96, 1,10,1,1,1,1, 1,1,6,6, 4,5,4,6,6,96
   91, 0,6,6,6,6,6, 8,2,2,4,96, 5,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,40, 7,35,3,2,2,1, 1,2,6,6,98,2,1,6,6,96
   92, 0,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,1,1,26, 6,10,1,4,4,1, 1,1,6,6, 7,3,3,6,6,96
   93, 0,6,6,6,6,6, 5,2,2,4,96,11,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,3,35, 6,35,3,1,1,1, 1,2,6,6, 7,4,2,6,6,96
   94, 5,6,6,6,6,6, 6,2,2,2,96, 3,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,23, 4,35,3,2,1,1, 1,1,6,6,97,3,3,6,6,96
   95, 1,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,40, 4,46,4,1,1,1, 1,1,6,6, 6,4,3,6,6,96
   96, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,23, 6,59,5,3,2,1, 1,1,6,6, 8,3,2,6,6,96
   97, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,4,20, 4,59,5,2,2,1, 1,1,6,6, 5,3,2,6,6,96
   98, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,1,18, 4,13,1,3,3,1, 2,1,6,6,10,2,1,6,6,96
   99, 0,6,6,6,6,6, 3,2,2,4,96, 4,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,2,1,25, 4,35,3,5,4,1, 3,2,6,6, 0,5,2,6,6,96
  100, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,3,24, 7,35,3,3,3,1, 1,1,6,6, 7,3,3,6,6,96
  101, 4,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,22, 4,48,4,3,2,1, 1,1,6,6, 9,2,2,6,6,96
  102, 0,2,1,6,7,6,96,1,1,6, 2,96,1, 6,1,2, 2,6,1, 1, 1,2,96,6,6,6,4,4, 1,2,1,17, 2,11,1,5,2,1, 1,1,6,6,10,2,1,1,6, 2
  103, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,2,22, 4,24,2,2,1,1, 1,2,6,6, 8,2,2,6,6,96
  104, 2,6,6,6,6,6, 1,2,2,2,96, 2,6,96,6,6,96,6,6,96,96,6,96,2,2,6,1,2, 1,1,1,40, 7,59,5,2,1,1, 1,1,6,6, 8,1,3,6,6,96
  105, 6,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,1,2,96, 1,24,2,2,2,1, 2,1,6,6, 9,3,3,6,6,96
  106, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,1,1,26,99,59,5,4,2,1, 1,1,1,1, 6,3,3,6,6,96
  107, 2,6,6,6,6,6, 9,2,2,4,96,11,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,19, 2,35,3,6,2,2, 5,1,6,6, 4,1,1,6,6,96
  108, 0,6,6,6,6,6,96,2,2,4,96,12,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,1,23, 6,10,1,6,6,1, 1,8,6,6,10,2,1,6,6,96
  109, 0,2,6,6,6,6,96,1,1,6, 6,96,1, 5,6,2, 1,2,2, 3,96,2,96,6,6,6,2,3, 1,1,1,40, 7,35,3,6,4,1, 1,2,6,6, 8,2,2,6,6,96
  110, 0,6,6,6,6,6,96,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 1,2,3,23, 4,47,4,1,1,2, 5,1,6,6,10,2,3,6,6,96
  111, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,20, 6,12,1,4,4,1, 1,2,6,6, 8,3,1,6,6,96
  112, 0,2,6,6,6,6,96,1,1,6, 6,96,1, 5,6,1, 1,2,4,96, 7,2,96,6,6,6,2,4, 1,2,1,25, 7,35,3,6,6,1, 1,2,1,1, 7,3,2,6,6,96
  113, 1,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,1,20, 2,12,1,2,2,1, 1,1,6,6,97,1,2,6,6,96
  114, 3,2,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,1,96, 1,48,4,1,1,1, 1,2,6,6, 9,2,3,6,6,96
  115, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,20, 4,59,5,4,3,1, 1,2,6,6, 7,2,2,6,6,96
  116, 3,1,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,96, 1,10,1,4,2,1, 1,1,6,6,10,3,2,6,6,96
  117, 8,1,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,21, 4,48,4,6,6,2, 5,1,6,6, 8,3,3,6,6,96
  118, 0,2,3,2,1,6,96,1,1,6,97,96,6,96,6,6,96,6,6,96,96,6,96,1,1,2,4,6, 2,1,1,34, 4,47,4,4,3,1, 1,1,6,6, 8,3,2,2,6, 4
  119,97,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,4, 5,2,2,33, 2,48,4,2,2,1, 1,2,6,6, 9,5,5,6,6,96
  120, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,3,21, 6,48,4,2,2,1, 1,2,6,6, 9,1,2,6,6,96
  121, 7,6,6,6,6,6, 9,6,2,2,96,11,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,2,1,16, 2,47,4,4,2,1, 1,1,6,6, 8,1,1,6,6,96
  122, 0,6,6,6,6,6, 9,2,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,2,1,20, 6,12,1,5,4,2,97,1,6,6,10,3,2,6,6,96
  123, 0,2,6,6,6,6,96,1,1,6, 6,96,1, 6,2,2, 2,1,1, 1, 1,2,96,6,6,6,2,3, 1,1,1,24, 6,35,3,4,3,1, 1,1,6,6,10,1,1,6,6,96
  124, 1,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,3,40, 7,35,3,2,2,1, 1,1,6,6, 6,4,4,6,6,96
  125, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,96, 1,13,1,2,1,1, 2,1,6,6,10,3,3,6,6,96
  126, 4,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,1,1,40, 4,59,5,4,4,1, 1,2,6,6, 9,3,3,6,6,96
  127, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,4,97, 2,35,3,1,1,1, 1,1,6,6, 8,4,4,6,6,96
  128, 0,6,6,6,6,6,96,6,2,1,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,3,6, 1,1,2,96, 1,24,2,4,2,2,97,1,1,1,10,1,2,6,6,96
  129, 5,6,6,6,6,6, 3,2,2,1,96, 5,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 5,2,2,40, 4,35,3,3,3,1, 1,1,6,6, 2,5,5,6,6,96
  130, 0,2,6,6,6,6,96,1,1,6, 6,96,1, 1,2,2, 4,1,2, 3,96,2,96,6,6,6,2,4, 1,2,4,22, 4,35,3,6,4,1, 1,2,1,1, 9,1,2,6,6,96
